text,sentiment
John $cro and the the tiger kqueen $tking. Match made in heaven @cryptocom. Make it happen! List $tking before Season 2 on Nov 17! $shib $doge $floki $mana $btc $eth $tsla $sol $bnb $cro $ada $elon $tcub $cumstar $shibx $marsrise $freemoon $dogempon $pets $dogedash $sand https://t.co/9g9bu8SRaq,0.5972
"RT @warrior16win: $NXMH $3.45 🟢 float lock 🔒 no dilution 🔥ready to go ballistic 🚀 @NextMeats 👇🏼 Best #alternativefood on the planet 🌎 

#SP…",0.4588
"CHINA OVERLOAD $TSLA WITHIN 24 HOURS
TOO MUCH DEMAND
#TESLA 
https://t.co/dUC7dIvoYl

#STOCK #STOCKS #StockMarketindia #CHINA $baba $pltr $pdd $nio $ba $v $xom $cvx #oil $gld #btc #Bitcoin #eth #ethereum #corn #soybeans #wheat #gold #shibarmy #dogecoin $alb $acn $amp $nvda $amd",-0.6669
Everyone talks about #TSLA  making crazy gains but I remember #February  everyone wanted to own #gme and now #facebook sees the bigger #Picture  🚀🔋💪🏼,0.0
RT @i_lovesneakers_: What if you had $100k invested in tsla in 10years. Not financial advice https://t.co/ShnogBOYOo,0.0
"$KRBP  BREAKING OUT NHOD  3.09 SQUEEZE COMING

$5 CALL OPTIONS ABOUT 2 EXPLODE

10M FLOAT

CANCER VACCINE POSITIVE RESULTS

HIGHER HIGHS/HIGHER LOs READ CHART SHORTS U KNOW WHERE THIS GOES

NO BRAINER RISK/REWARD LEVEL

$SPY $AAPL $TSLA $ADTX $BBIG $FATBB $FCEL  $OCGN $SAVA $ASRT https://t.co/ehLb7FbLSp",-0.5766
"RT @warrior16win: $NXMH $3.45 🟢 float lock 🔒 no dilution 🔥ready to go ballistic 🚀 @NextMeats 👇🏼 Best #alternativefood on the planet 🌎 

#SP…",0.4588
"Nailed that reversal on $TSLA, target $1040. https://t.co/38ut4UFQEe",0.0
RT @PhilipJagd: #tsla is up 19x since 2019. Fwd Sales are up 2.3x and fwd eps 5.5x. #investing margins have swing into positive slightly ab…,0.5574
Waiting till Monday I guess $nvda $tsla and $amd,0.0
"@john__rosevear Not only that, but $GM is closing the Bolt factory for several more weeks so it can prioritize sending ALL new battery packs to its existing customers.

Under Musk, $TSLA would never do this in a million years, lol.",0.5719
RT @BradMunchen: I believe that @elonmusk may need to put in an order to his Family Office to buy the 1200 calls expiring today in order to…,0.0
"This may just be for today; but, so many gaps need to be closed in the daily timeframe...#TSLA",0.0
"BOOM  👊
$PFE .99 ➡️ 1.90 (+92%)  

Activate your 3 day FREE trial. Link in bio. 

$TSLA $NVDA $DKNG $OCGN $MRNA https://t.co/Efglkp754Q",0.6166
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
"I believe that @elonmusk may need to put in an order to his Family Office to buy the 1200 calls expiring today in order to sustain the gamma/delta squeeze. 
$TSLA $TSLAQ https://t.co/gtTKzO4Fus",0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
$BB runs here baby 😈🥱🤑 $TSLA $SPY $QQQ,0.4588
"RT @seanroz14: 11/5 Watchlist 🔰 

#AMC 
#SPY
#NVAX 
#OCGN
#RIOT
#SAVA 
#TSLA 
#LCID 
#DM",-0.6523
"RT @heydave7: $10,000 worth of $TSLA stock purchased 9 years ago is now worth $2 million.",0.4215
"RT @ORTEX: Today's #ShortInterest updated in $AMC, $GME, $BBIG, $RIDE, $BB, $TSLA, $NKLA, $TLRY, $CLOV, $WKHS, $MMAT, $TTCF, $ATER, $PROG a…",0.0
RT @ArkkDaily: Tesla $TSLA is up 55% over the last month 👀👀👀🔥🔥 https://t.co/1OMz6Bzhlr,-0.5859
"RT @MichaelAArouet: $TSLA price performance compared to expected sales and earnings 👇 Nothing to see here, please just move on. Ht @PhilipJ…",0.3182
"RT @FMossotto: Updated position of Tesla ships.

Explore the map on https://t.co/c5aMzLbKh2

Ships positions in the thread below.

$TSLA #T…",0.0
"RT @jvojimmy: Why do you think every other country has BANNED the Dark Pool Exchange aside from America? 😵‍💫

$AMC $GME $TSLA $BBIG",-0.7603
"RT @1stPrincipleInv: Did you sell any $TSLA since it crosses $1,000 a share?",0.296
RT @ValueAnalyst1: $TSLA 42.69% gross margin by Q4’22 🚀🌕,-0.4767
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
"RT @jvojimmy: Why do you think every other country has BANNED the Dark Pool Exchange aside from America? 😵‍💫

$AMC $GME $TSLA $BBIG",-0.7603
"@troyhouse I have stated numerous times, for more than a year now, that TSLA has become a profoundly dangerous short. The only sensible short play is one that’s very small, and preferably dynamic. The bulls’ notion that bears are concentrated in this short is  pure psychological projection.",0.2263
"#StocksToBuy 

✅#OTCQB 💵 $HYEX 
✅Healthy Extracts Inc. 
✅A leading #innovator of clinically proven plant-based products for #hearthealth &amp; #brainhealth 

https://t.co/DlvnA5tDEw

@HealthyExtracts
@SteveKann 

$ETH $XRP $LINK  $ADA  $AAPL $TSLA $AMZN $SPY $QQQ  $ALGO   $BNB $C https://t.co/UranGBuYR3",0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
RT @ValueAnalyst1: $TSLA Q4’21 WILL BE AMAZINGER 🚀🌕,0.0
"RT @NorthmanTrader: BREAKING: The first $TSLA bike. 

Well done @elonmusk! https://t.co/UxTZHcgDt2",0.3382
